company,domain,website,fit,note,status,contact_name,contact_role,phone,email,last_contacted
Hallmark Builders,hallmarkbuilders.in,https://www.hallmarkbuilders.in,B,Residential,new,,,,,
Honer Homes,honerhomes.com,https://www.honerhomes.com,B,Residential,new,,,,,
Vasavi Group,thevasavigroup.com,https://www.thevasavigroup.com,B,Residential,new,,,,,
Saket Engineers,saketgroup.com,https://www.saketgroup.com,B,Residential,new,,,,,
Giridhari Constructions,giridhariconstructions.com,https://www.giridhariconstructions.com,B,Residential,new,,,,,
Aditya Construction Company,adityacc.com,https://www.adityacc.com,B,Residential,new,,,,,
GHR Infra,ghrinfra.in,https://www.ghrinfra.in,B,Residential,new,,,,,
EIPL Group,eiplgroup.com,https://www.eiplgroup.com,B,Residential,new,,,,,
CYBERCITY Builders & Developers,cybercity.in,https://www.cybercity.in,B,Residential/commercial,new,,,,,
Modi Builders,modibuilders.com,https://www.modibuilders.com,B,Residential,new,,,,,
Auro Realty,aurorealty.com,https://www.aurorealty.com,B,Residential,new,,,,,
Gowra Ventures,gowraventures.com,https://www.gowraventures.com,B,Residential/commercial,new,,,,,
Vaishnaoi Group,vaishnaoigroup.com,https://www.vaishnaoigroup.com,B,Residential,new,,,,,
Vamsiram Builders,vamsirambuilders.com,https://www.vamsirambuilders.com,B,Residential,new,,,,,
Northstar Homes & Spaces,northstarhomes.in,https://www.northstarhomes.in,B,Residential,new,,,,,
Alekhya Homes,alekhyahomes.in,https://www.alekhyahomes.in,B,Residential,new,,,,,
Lumbini Constructions,lumbini.com,https://www.lumbini.com,B,Residential,new,,,,,
Pavani Infra,pavaniinfra.com,https://www.pavaniinfra.com,B,Residential,new,,,,,
Namishree Group,namishree.com,https://www.namishree.com,B,Residential,new,,,,,
Radhey Constructions India,radheyconstructions.com,https://www.radheyconstructions.com,B,Residential,new,,,,,
Shanta Sriram Constructions,shantasriram.com,https://www.shantasriram.com,B,Residential,new,,,,,
Siri Sampada Group,sirisampada.com,https://www.sirisampada.com,B,Residential,new,,,,,
Srinidhi Homes,srinidhihomes.in,https://www.srinidhihomes.in,B,Residential,new,,,,,
INDIS Group,indis.co.in,https://www.indis.co.in,B,Residential,new,,,,,
KMV Projects,kmvprojects.com,https://www.kmvprojects.com,B,Residential,new,,,,,
KMV Spaces,kmvspaces.com,https://www.kmvspaces.com,B,Spaces,new,,,,,
GAR Corporation,garcorp.in,https://www.garcorp.in,B,Residential/commercial,new,,,,,
Doyen Constructions,doyenindia.com,https://www.doyenindia.com,B,Residential,new,,,,,
Aakriti Housing,aakritihousing.com,https://www.aakritihousing.com,B,Residential,new,,,,,
Asritha's Group,asrithasgroup.com,https://www.asrithasgroup.com,B,Residential,new,,,,,
Maram Infra Projects,maraminfraprojects.com,https://www.maraminfraprojects.com,B,Residential,new,,,,,
Amrutha Projects,amruthaprojects.in,https://www.amruthaprojects.in,B,Residential,new,,,,,
MPM Group,mpm.in,https://www.mpm.in,B,Residential,new,,,,,
Malpani Group,malpani.com,https://www.malpani.com,B,Diversified,new,,,,,
Raam Group,raamgroup.in,https://www.raamgroup.in,B,Residential,new,,,,,
Ark Group,arkgroup.in,https://www.arkgroup.in,B,Residential,new,,,,,
2getherments Infra,2getherments.com,https://www.2getherments.com,B,Residential,new,,,,,
SAS Infra,sasinfra.com,https://www.sasinfra.com,B,Residential,new,,,,,
Tricolour Properties,tricolour.co.in,https://www.tricolour.co.in,B,Residential,new,,,,,
Goldenkey,goldenkey.in,https://www.goldenkey.in,B,Residential,new,,,,,
KOLLA Group,kollagroup.com,https://www.kollagroup.com,B,Residential,new,,,,,
Urbanblocks Realty,urbanblocks.net,https://www.urbanblocks.net,B,Residential,new,,,,,
Symbyont Smart Spaces,symbyontsmartspaces.com,https://www.symbyontsmartspaces.com,B,Spaces,new,,,,,
Sri Sai Constructions,srisaiconstructions.org,https://www.srisaiconstructions.org,B,Residential,new,,,,,
Jade Developers,jadedevelopers.com,https://www.jadedevelopers.com,B,Residential,new,,,,,
MSN Realty,msnrealty.com,https://www.msnrealty.com,B,Residential,new,,,,,
RBV Realty Company,rbvrealty.com,https://www.rbvrealty.com,B,Residential,new,,,,,
PVR Developers India,pvrdevelopers.com,https://www.pvrdevelopers.com,B,Residential,new,,,,,
Goldfish Abode,goldfishabode.com,https://www.goldfishabode.com,B,Residential,new,,,,,
Haris Pranava Constructions,harispranavaconstructions.com,https://www.harispranavaconstructions.com,B,Residential,new,,,,,
Riddhi Builders & Developers,riddhibuilders.in,https://www.riddhibuilders.in,B,Residential,new,,,,,
Bharat Nirman Limited,bharatnirman.net,https://www.bharatnirman.net,B,Residential,new,,,,,
Aikhya Infra Developers,aikhyainfra.com,https://www.aikhyainfra.com,B,Residential,new,,,,,
GAK GROUP,gakgroup.in,https://www.gakgroup.in,B,Residential,new,,,,,
Amr Aditya,amraditya.com,https://www.amraditya.com,B,Residential,new,,,,,
iMark Developers,imark.in,https://www.imark.in,B,Residential,new,,,,,
PCC Realty,pccrealty.in,https://www.pccrealty.in,B,Residential,new,,,,,
MTG Infra Developers,mtginfradevelopers.com,https://www.mtginfradevelopers.com,B,Residential,new,,,,,
Levenus Projects,levenus.org,https://www.levenus.org,B,Residential,new,,,,,
Vaishnavi Infracon,vaishnaviinfracon.in,https://www.vaishnaviinfracon.in,B,Residential,new,,,,,
Vensa Infrastructure,vensa.in,https://www.vensa.in,B,Residential,new,,,,,
Ashoka Builders,ashokabuilders.com,https://www.ashokabuilders.com,B,Residential,new,,,,,
Lakshmi Infra,lakshmiinfra.com,https://www.lakshmiinfra.com,B,Residential,new,,,,,
Sanali Group,sanali.com,https://www.sanali.com,B,Office/commercial,new,,,,,
Quorizon Group,quorizonspaces.com,https://www.quorizonspaces.com,B,Spaces,new,,,,,
GenNxt Realty,gennxtrealty.com,https://www.gennxtrealty.com,B,Realty,new,,,,,
Urban Pride Properties,vrrconstructions.com,https://www.vrrconstructions.com,B,Residential,new,,,,,
E-INFRA,e-infra.in,https://www.e-infra.in,B,Residential,new,,,,,
Anokhi Enterprises,anokhihomes.com,https://www.anokhihomes.com,B,Residential,new,,,,,
PBEL Property Development,pbelcity.in,https://www.pbelcity.in,B,Township,new,,,,,
Latinem Private Limited,latinem.in,https://www.latinem.in,B,Residential,new,,,,,
Phoenix,phoenixindia.net,https://www.phoenixindia.net,B,Residential/commercial,new,,,,,
Assetmonk,assetmonk.com,https://www.assetmonk.com,C,"Fractional RE investment platform — partner, not developer",new,,,,,
EstateDekho,estatedekho.com,https://www.estatedekho.com,C,Portal — competitor/partner,new,,,,,
Real Konsult,realkonsult.com,https://www.realkonsult.com,C,Advisory,new,,,,,
Trinity Partners India,trinitypartners.co.in,https://www.trinitypartners.co.in,C,Advisory,new,,,,,
Nandaka Real Asset Advisory,nandakacorp.com,https://www.nandakacorp.com,C,Advisory,new,,,,,
NCC Limited,ncclimited.com,https://www.ncclimited.com,C,Infra contractor,new,,,,,
GMR Aerocity Hyderabad,gmraerocityhyd.com,https://www.gmraerocityhyd.com,C,Large aerocity development,new,,,,,
